File Version	v3.03.00
Modified Date	11/18/2019
Modified Time	13:43:10

LoadID	LoadName	RoomID	DIM_setting	Ramp_time	Upper_limit	Lower_limit	TotalWattage
20	L-002 KRAOKE RM 124 DW-L20	2	True	500	100	1	170
21	L-048 BAR 101 RD3	1	True	500	100	1	50
22	L-004 EXT. WALL ACCENT SS14	9	True	500	100	1	50
23	L-005 EXT. WALL ACCENT SS10	9	True	500	100	1	50
24	L-006 HOSTESS STAND DT-L08	8	True	500	100	1	50
25	L-007 HOSTESS STAND SS15	8	True	500	100	1	50
26	L-008 MAIN ENTRANCE SS11	8	True	500	100	1	50
28	L-009 MEAT DISPLAY SS17	8	True	500	100	1	50
29	L-014-1 BAR 101 SS17	1	True	500	100	1	50
30	L-087 UNISEX 132-134 RA4	8	True	500	100	1	50
31	L-001 EXTERIOR FACADE DW-L18	9	True	500	100	1	50
32	L-003 EXTERIOR FACADE DW-L18	9	True	500	100	1	50
33	L-056 DINING RM 1 #100 RA4	3	True	500	100	1	50
34	L-088 KARAOKE 124 DP-L17	2	True	500	100	1	50
35	L-014-2 BAR 101 SS17	1	True	500	100	1	50
36	L-012 BAR LOUNGE 102 SS11	11	True	500	100	1	50
37	L-013 BAR 101 SS5	1	True	500	100	1	50
38	L-015 BAR 101 SS6	1	True	500	100	1	50
39	L-016 BAR 101 DT-L02	1	True	500	100	1	50
40	L-018 BAR 101 SS4	1	True	500	100	1	50
41	L-017-2 BAR 101 SS8	1	True	500	100	1	50
42	L-019-1 SERVICE BAR SS8	7	True	500	100	1	50
43	L-017-1 BAR 101 SS13	1	True	500	100	1	50
44	L-019-2 RAW BAR 135 SS6	12	True	500	100	1	50
47	L-022 DINING RM 1 #100 DW-L05	3	True	500	100	1	50
48	L-024 DINING RM1 #100 SS2	3	True	500	100	1	50
49	L-025 DINING RM1 #100 SS11	3	True	500	100	1	50
50	L-026 DINING RM1 #100 SS8	3	True	500	100	1	50
51	L-027 KARAKOE 124 SS16	2	True	500	100	1	50
52	L-029 KARAOKE 124 SS2	2	True	500	100	1	50
53	L-030 KARAOKE 124 SS8	2	True	500	100	1	50
54	L-032-1 MOON PALACE 127 SS11	-1	True	500	100	1	50
55	L-032-2 MOON PALACE 127 SS9	-1	True	500	100	1	50
56	L-034 MOON PALACE 127 SS5	-1	True	500	100	1	50
57	L-037 DINING RM 3 #116 SS8	5	True	500	100	1	50
58	L-038-1 DINING RM 3 #116 SS11	5	True	500	100	1	50
59	L-038-2 DINING RM 2 #109 SS8	4	True	500	100	1	50
60	L-040 DINING RM 1 #100 SS11	3	True	500	100	1	50
61	L-041 DINING RM 1 #100 SS8	3	True	500	100	1	50
62	L-085 BAR LOUNGE 102 SS5	11	True	500	100	1	50
63	L-089 KARAOKE 124 DW-L16	2	True	500	100	1	50
64	L-054 DINING RM 1 #100 DP-L06	3	True	500	100	1	50
65	L-090 KITCHEN #128 SS6	6	True	500	100	1	50
66	L-060 KARAOKE 124 SS12	2	True	500	100	1	50
67	L-067 UNISEX 126 SS1	8	True	500	100	1	50
68	L-071 MOON PALACE 127 DP-L09	-1	True	500	100	1	50
69	L-045 BAR LOUNGE 102 TM	11	True	500	100	1	50
70	L-046 BAR LOUNGE 102 ED1	11	True	500	100	1	50
71	L-047 BAR LOUNGE 102 DP-L01	11	True	500	100	1	50
72	L-049 BAR 101 RA1	1	True	500	100	1	50
73	L-050 RAW BAR 135 RA1	12	True	500	100	1	50
74	L-051 RAW BAR 135 RA2	12	True	500	100	1	50
75	L-036 DINING RM 2 #109 DW-L21	4	True	500	100	1	50
76	L-084 HALLWAY RA4	8	True	500	100	1	50
77	L-052-1 DINING RM 1 #100 ED1	3	True	500	100	1	50
78	L-059 DINING RM 1 #100 DP-L07	3	True	500	100	1	50
79	L-063 KARAOKE 124 RA5	2	True	500	100	1	50
80	L-064 KARAKOE 124 RA1	2	True	500	100	1	50
81	L-065 KARAKOE 124 TH2	2	True	500	100	1	50
82	L-066 KARAKOE 124 RA5	2	True	500	100	1	50
83	L-068 BOH KITCHEN 128 RD2	6	True	500	100	1	50
84	L-069 BOH KITCHEN 128 RD2	6	True	500	100	1	50
85	L-072 MOON PALACE 127 RA1	-1	True	500	100	1	50
86	L-052-2 DINING RM 1 #100 ED1	3	True	500	100	1	50
87	L-052-3 DINING RM 1 #100 ED1	3	True	500	100	1	50
88	L-053 DINING RM 1 #100 ED2	3	True	500	100	1	50
89	L-055 DINING RM 1 #100 ED2	3	True	500	100	1	50
90	L-057 DINING RM 1 #100 ED3	3	True	500	100	1	50
91	L-058 SERVICE HALLWAY RA4	7	True	500	100	1	50
92	L-061 KARAOKE 124 TH3	2	True	500	100	1	50
93	L-073-1 SERVICE 110 TH1	10	True	500	100	1	50
94	L-078 DINING RM 3 #116 ED1	5	True	500	100	1	50
95	L-082 DINING RM 3 #116 ED2	5	True	500	100	1	50
96	L-020 UNISEX 132-134 DW-L13	8	True	500	100	1	50
97	L-021  UNISEX 132-134 DW-L13	8	True	500	100	1	50
98	L-031 UNISEX 126 DW-L13	8	True	500	100	1	50
99	L-042 MENS WOMENS 130-131 DW-L13	8	True	500	100	1	50
102	L-073-2 SERVICE 110 TH1	10	True	500	100	1	50
103	L-073-3 SERVICE 110 TH1	10	True	500	100	1	50
104	L-073-4 SERVICE 110 TH1	10	True	500	100	1	50
105	L-074-1 SERVICE BAR 112 TH1	7	True	500	100	1	50
106	L-074-2 SERVICE BAR 112 TH1	7	True	500	100	1	50
107	L-074-3 SERVICE BAR 112 TH1	7	True	500	100	1	50
108	L-074-4 SERVICE BAR 112 TH1	7	True	500	100	1	50
109	L-076-1 DINING RM 2 #109 ED1	4	True	500	100	1	50
110	L-076-2 DINING RM 2 #109 ED1	4	True	500	100	1	50
111	L-077 DINING RM 2 #109 ED1	4	True	500	100	1	50
112	L-079 DINING RM 3 #116 ED2	5	True	500	100	1	50
113	L-080 DINING RM 3 #116 ED1	5	True	500	100	1	50
114	L-081 DINING RM 3 #116 RA1	5	True	500	100	1	50
115	L-075 DINING RM 2 #109 RD1	4	True	500	100	1	50
116	L-083 MENS WOMENS 130-131 SS1	8	True	500	100	1	50
117	L-035-1 DINING RM 2 #109 SS3	4	True	500	100	1	50
118	L-035-2 DINING RM 2 #109 SS3	4	True	500	100	1	50
119	L-037-1 DINING RM 2 #109 SS3	4	True	500	100	1	50
120	L-037-2 DINING RM 2 #109 SS3	4	True	500	100	1	50

