File Version	v3.03.00
Modified Date	11/18/2019
Modified Time	14:00:55

SceneID	RoomID	SceneName
1	256	All Lights
2	1	All On
4	1	All Off
5	11	All On
6	1	Scene 1
7	1	Scene 2
8	1	Scene 3
3	11	All Off
9	8	All Off
10	3	All Off
11	4	All Off
12	5	All Off
13	9	All Off
14	2	All Off
15	6	All Off
16	12	All Off
17	10	All Off
18	7	All Off
19	8	All On
20	3	All On
21	4	All On
22	5	All On
23	9	All On
24	2	All On
25	6	All On
26	12	All On
27	10	All On
28	7	All On
29	11	Scene 1
30	8	Scene 1
31	3	Scene 1
32	4	Scene 1
33	5	Scene 1
34	9	Scene 1
35	2	Scene 1
36	6	Scene 1
37	12	Scene 1
38	10	Scene 1
39	7	Scene 1
40	11	Scene 2
41	8	Scene 2
42	3	Scene 2
43	4	Scene 2
44	5	Scene 2
45	9	Scene 2
46	2	Scene 2
47	6	Scene 2
48	12	Scene 2
49	10	Scene 2
50	7	Scene 2
51	11	Scene 3
52	8	Scene 3
53	3	Scene 3
54	4	Scene 3
55	5	Scene 3
56	9	Scene 3
57	2	Scene 3
58	6	Scene 3
59	12	Scene 3
60	10	Scene 3
61	7	Scene 3

